iter	Passed	Remaining
0	160	159891
1	267	133296
2	300	99904
3	312	77813
4	323	64318
5	350	58097
6	364	51664
7	397	49331
8	417	45957
9	434	43011
10	469	42230
11	499	41158
12	518	39347
13	546	38498
14	584	38385
15	616	37916
16	632	36597
17	670	36591
18	687	35495
19	724	35477
20	760	35474
21	797	35474
22	835	35497
23	867	35278
24	902	35201
25	937	35136
26	974	35114
27	1009	35053
28	1045	34998
29	1074	34736
30	1141	35693
31	1177	35615
32	1213	35560
33	1246	35424
34	1282	35370
35	1309	35069
36	1338	34824
37	1367	34617
38	1402	34566
39	1435	34462
40	1471	34410
41	1507	34377
42	1523	33912
43	1559	33893
44	1592	33806
45	1630	33812
46	1659	33645
47	1693	33582
48	1725	33491
49	1762	33484
50	1796	33437
51	1832	33416
52	1869	33407
53	1906	33398
54	1941	33359
55	1978	33348
56	2009	33238
57	2043	33195
58	2062	32897
59	2098	32881
60	2116	32577
61	2154	32592
62	2187	32529
63	2221	32489
64	2255	32449
65	2288	32390
66	2324	32369
67	2335	32008
68	2380	32122
69	2416	32100
70	2445	31999
71	2480	31976
72	2516	31959
73	2552	31941
74	2586	31900
75	2621	31877
76	2648	31745
77	2682	31711
78	2695	31424
79	2728	31381
80	2764	31365
81	2796	31309
82	2830	31269
83	2864	31236
84	2899	31211
85	2935	31194
86	2970	31176
87	3005	31152
88	3041	31134
89	3074	31089
90	3109	31059
91	3147	31065
92	3181	31023
93	3215	30993
94	3249	30956
95	3282	30912
96	3318	30893
97	3353	30864
98	3387	30832
99	3422	30799
100	3458	30784
101	3496	30782
102	3542	30850
103	3576	30812
104	3611	30782
105	3649	30782
106	3683	30739
107	3717	30704
108	3752	30670
109	3785	30624
110	3819	30590
111	3853	30556
112	3888	30523
113	3923	30492
114	3960	30478
115	3995	30450
116	4029	30409
117	4064	30378
118	4100	30354
119	4134	30316
120	4169	30287
121	4207	30277
122	4244	30263
123	4282	30256
124	4324	30269
125	4362	30261
126	4401	30255
127	4439	30241
128	4475	30217
129	4515	30221
130	4556	30223
131	4592	30198
132	4626	30160
133	4662	30133
134	4697	30099
135	4734	30078
136	4768	30038
137	4802	29999
138	4837	29962
139	4871	29924
140	4906	29890
141	4942	29866
142	4978	29838
143	5014	29807
144	5058	29826
145	5092	29786
146	5125	29744
147	5163	29723
148	5198	29689
149	5233	29655
150	5266	29610
151	5303	29585
152	5338	29553
153	5373	29520
154	5408	29486
155	5444	29454
156	5477	29412
157	5513	29380
158	5548	29346
159	5582	29308
160	5618	29277
161	5656	29258
162	5691	29225
163	5726	29193
164	5761	29157
165	5798	29130
166	5834	29100
167	5868	29060
168	5902	29022
169	5936	28983
170	5969	28939
171	6005	28908
172	6039	28868
173	6072	28828
174	6112	28814
175	6149	28790
176	6184	28754
177	6217	28712
178	6252	28677
179	6286	28639
180	6327	28632
181	6361	28590
182	6395	28552
183	6429	28512
184	6462	28471
185	6497	28434
186	6533	28404
187	6566	28362
188	6600	28323
189	6638	28301
190	6672	28262
191	6706	28225
192	6742	28192
193	6777	28156
194	6811	28120
195	6847	28086
196	6881	28049
197	6916	28017
198	6952	27985
199	6988	27953
200	7021	27912
201	7063	27906
202	7098	27869
203	7134	27836
204	7168	27800
205	7203	27764
206	7237	27727
207	7270	27685
208	7306	27651
209	7342	27623
210	7376	27585
211	7409	27539
212	7443	27501
213	7478	27468
214	7512	27429
215	7548	27398
216	7586	27374
217	7619	27333
218	7657	27306
219	7692	27272
220	7727	27240
221	7761	27199
222	7796	27164
223	7830	27128
224	7868	27103
225	7905	27074
226	7940	27039
227	7975	27003
228	8009	26964
229	8045	26934
230	8081	26903
231	8114	26862
232	8150	26831
233	8186	26798
234	8220	26761
235	8254	26721
236	8290	26690
237	8325	26654
238	8358	26614
239	8393	26577
240	8428	26545
241	8462	26506
242	8497	26470
243	8531	26433
244	8564	26394
245	8599	26359
246	8635	26325
247	8669	26288
248	8704	26252
249	8739	26218
250	8773	26179
251	8808	26146
252	8842	26109
253	8876	26071
254	8910	26032
255	8945	25997
256	8982	25968
257	9015	25927
258	9049	25891
259	9086	25861
260	9121	25826
