Year,Month,Standard_Category,New_Registration,Transfer,Yearly_Total_Stock,Month_Num,Quarter,Is_Peak_Season,Is_Crisis_Period,Transfer_to_New_Ratio,New_Registration_Market_Share,Prev_Month_New_Reg,Monthly_Growth_Rate
2018,Jan,Bus,356.0,0.0,56674.5,1,1,0,0,0.0,0.008198609000046,0.0,0.0
2018,Feb,Bus,278.0,0.0,56674.5,2,1,0,0,0.0,0.0072093566038225,356.0,-0.2184873949579832
2018,Mar,Bus,302.0,0.0,56674.5,3,1,0,0,0.0,0.0070988670020215,278.0,0.086021505376344
2018,Apr,Bus,235.0,0.0,56674.5,4,2,1,0,0.0,0.005714980544747,302.0,-0.2211221122112211
2018,May,Bus,216.0,0.0,56674.5,5,2,0,0,0.0,0.0046313171380175,235.0,-0.0805084745762711
2018,Jun,Bus,230.0,0.0,56674.5,6,2,0,0,0.0,0.0058035376346799,216.0,0.064516129032258
2018,Jul,Bus,290.0,0.0,56674.5,7,3,0,0,0.0,0.0068431733446599,230.0,0.2597402597402597
2018,Aug,Bus,232.0,0.0,56674.5,8,3,0,0,0.0,0.0053325978026019,290.0,-0.1993127147766323
2018,Sep,Bus,244.0,0.0,56674.5,9,3,0,0,0.0,0.007016938429241,232.0,0.0515021459227467
2018,Oct,Bus,248.0,0.0,56674.5,10,4,0,0,0.0,0.0055317630264097,244.0,0.0163265306122449
2018,Nov,Bus,179.0,0.0,56674.5,11,4,0,0,0.0,0.0056032054091279,248.0,-0.2771084337349397
2018,Dec,Bus,147.0,0.0,56674.5,12,4,1,0,0.0,0.0045450329282997,179.0,-0.1777777777777777
2019,Jan,Bus,181.0,0.0,56809.0,1,1,0,0,0.0,0.0048342725888731,147.0,0.2297297297297297
2019,Feb,Bus,113.0,0.0,56809.0,2,1,0,0,0.0,0.0037456907981967,181.0,-0.3736263736263736
2019,Mar,Bus,107.0,0.0,56809.0,3,1,0,0,0.0,0.0029925884491679,113.0,-0.0526315789473684
2019,Apr,Bus,101.0,0.0,56809.0,4,2,1,0,0.0,0.0037062860078529,107.0,-0.0555555555555555
2019,May,Bus,77.0,0.0,56809.0,5,2,0,0,0.0,0.0022206200432588,101.0,-0.2352941176470588
2019,Jun,Bus,66.0,0.0,56809.0,6,2,0,0,0.0,0.0024968789013732,77.0,-0.141025641025641
2019,Jul,Bus,99.0,0.0,56809.0,7,3,0,0,0.0,0.0030955880053781,66.0,0.4925373134328358
2019,Aug,Bus,95.0,0.0,56809.0,8,3,0,0,0.0,0.0029248768472906,99.0,-0.04
2019,Sep,Bus,260.0,0.0,56809.0,9,3,0,0,0.0,0.0090646027263535,95.0,1.71875
2019,Oct,Bus,253.0,0.0,56809.0,10,4,0,0,0.0,0.0083802583636965,260.0,-0.0268199233716475
2019,Nov,Bus,168.0,0.0,56809.0,11,4,0,0,0.0,0.0067404910929224,253.0,-0.3346456692913386
2019,Dec,Bus,93.0,0.0,56809.0,12,4,1,0,0.0,0.0036167068522983,168.0,-0.4437869822485207
2020,Jan,Bus,139.0,0.0,56580.5,1,1,0,1,0.0,0.0039630495523749,93.0,0.4893617021276595
2020,Feb,Bus,113.0,0.0,56580.5,2,1,0,1,0.0,0.0035633198789101,139.0,-0.1857142857142857
2020,Mar,Bus,43.0,0.0,56580.5,3,1,0,1,0.0,0.0031592094629343,113.0,-0.6140350877192983
2020,Apr,Bus,27.0,0.0,56580.5,4,2,1,1,0.0,0.0015553891353188,43.0,-0.3636363636363636
2020,May,Bus,36.0,0.0,56580.5,5,2,0,1,0.0,0.0011006481594716,27.0,0.3214285714285714
2020,Jun,Bus,47.0,0.0,56580.5,6,2,0,1,0.0,0.0016142881676111,36.0,0.2972972972972973
2020,Jul,Bus,40.0,0.0,56580.5,7,3,0,1,0.0,0.002233888082207,47.0,-0.1458333333333333
2020,Aug,Bus,62.0,0.0,56580.5,8,3,0,1,0.0,0.0049651637703211,40.0,0.5365853658536586
2020,Sep,Bus,16.0,0.0,56580.5,9,3,0,1,0.0,0.0037122969837587,62.0,-0.7301587301587301
2020,Oct,Bus,20.0,0.0,56580.5,10,4,0,1,0.0,0.006578947368421,16.0,0.2352941176470588
2020,Nov,Bus,35.0,0.0,56580.5,11,4,0,1,0.0,0.0072463768115942,20.0,0.7142857142857143
2020,Dec,Bus,578.0,0.0,56580.5,12,4,1,1,0.0,0.0028592346353239,35.0,15.083333333333334
2021,Jan,Bus,25.0,0.0,56572.5,1,1,0,1,0.0,0.0074649148999701,578.0,-0.9550949913644214
2021,Feb,Bus,86.0,0.0,56572.5,2,1,0,1,0.0,0.023535851122058,25.0,2.3461538461538463
2021,Mar,Bus,40.0,0.0,56572.5,3,1,0,1,0.0,0.0109769484083424,86.0,-0.5287356321839081
2021,Apr,Bus,33.0,0.0,56572.5,4,2,1,1,0.0,0.0133603238866396,40.0,-0.1707317073170731
2021,May,Bus,7.0,0.0,56572.5,5,2,0,1,0.0,0.0048577376821651,33.0,-0.7647058823529411
2021,Jun,Bus,7.0,0.0,56572.5,6,2,0,1,0.0,0.0027932960893854,7.0,0.0
2021,Jul,Bus,24.0,0.0,56572.5,7,3,0,1,0.0,0.0058694057226705,7.0,2.125
2021,Aug,Bus,10.0,0.0,56572.5,8,3,0,1,0.0,0.0062814070351758,24.0,-0.56
2021,Sep,Bus,5.0,0.0,56572.5,9,3,0,1,0.0,0.0018395879323031,10.0,-0.4545454545454545
2021,Oct,Bus,9.0,0.0,56572.5,10,4,0,1,0.0,0.003076923076923,5.0,0.6666666666666666
2021,Nov,Bus,16.0,0.0,56572.5,11,4,0,1,0.0,0.0057720057720057,9.0,0.7
2021,Dec,Bus,19.0,0.0,56572.5,12,4,1,1,0.0,0.004075504075504,16.0,0.1764705882352941
2022,Jan,Bus,85.0,1122.0,56836.0,1,1,0,1,13.046511627906977,0.0435897435897435,19.0,3.3
2022,Feb,Bus,50.0,1194.0,56836.0,2,1,0,1,23.41176470588235,0.0260145681581685,85.0,-0.4069767441860465
2022,Mar,Bus,46.0,1301.0,56836.0,3,1,0,1,27.680851063829788,0.020344980097302,50.0,-0.0784313725490196
2022,Apr,Bus,18.0,663.0,56836.0,4,2,1,1,34.89473684210526,0.0086830680173661,46.0,-0.5957446808510638
2022,May,Bus,11.0,523.0,56836.0,5,2,0,1,43.583333333333336,0.0057894736842105,18.0,-0.3684210526315789
2022,Jun,Bus,6.0,650.0,56836.0,6,2,0,1,92.85714285714286,0.0034090909090909,11.0,-0.4166666666666667
2022,Jul,Bus,23.0,373.0,56836.0,7,3,0,1,15.541666666666666,0.0207581227436823,6.0,2.4285714285714284
2022,Aug,Bus,14.0,773.0,56836.0,8,3,0,1,51.53333333333333,0.007318348144276,23.0,-0.375
2022,Sep,Bus,17.0,821.0,56836.0,9,3,0,1,45.61111111111112,0.0101918465227817,14.0,0.2
2022,Oct,Bus,16.0,820.0,56836.0,10,4,0,1,48.23529411764706,0.0113717128642501,17.0,-0.0555555555555555
2022,Nov,Bus,23.0,769.0,56836.0,11,4,0,1,32.041666666666664,0.0206093189964157,16.0,0.4117647058823529
2022,Dec,Bus,95.0,791.0,56836.0,12,4,1,1,8.239583333333334,0.0667134831460674,23.0,3.0
2025,Jan,Bus,35.0,1632.0,59145.5,1,1,0,0,45.333333333333336,0.003053301927942,95.0,-0.625
2025,Feb,Bus,52.0,1523.0,59145.5,2,1,0,0,28.73584905660377,0.0040909448509165,35.0,0.4722222222222222
2025,Mar,Bus,27.0,2075.0,59145.5,3,1,0,0,74.10714285714286,0.0020323673315769,52.0,-0.4716981132075472
2025,Apr,Bus,50.0,1370.0,59145.5,4,2,1,0,26.862745098039216,0.0028470561439471,27.0,0.8214285714285714
2025,May,Bus,129.0,1387.0,59145.5,5,2,0,0,10.669230769230769,0.0069884609133755,50.0,1.5490196078431373
2025,Jun,Bus,179.0,1625.0,59145.5,6,2,0,0,9.02777777777778,0.0079326390427653,129.0,0.3846153846153846
2025,Jul,Bus,228.0,1796.0,59145.5,7,3,0,0,7.842794759825328,0.0060643136420459,179.0,0.2722222222222222
2025,Aug,Bus,153.0,1649.0,59145.5,8,3,0,0,10.707792207792208,0.0040368328012453,228.0,-0.3275109170305676
2025,Sep,Bus,258.0,1744.0,59145.5,9,3,0,0,6.7335907335907335,0.0052702537075622,153.0,0.6818181818181818
2025,Oct,Bus,271.0,1626.0,59145.5,10,4,0,0,5.977941176470588,0.0056454804908026,258.0,0.0501930501930501
2025,Nov,Bus,281.0,1275.0,59145.5,11,4,0,0,4.5212765957446805,0.0064197756505448,271.0,0.0367647058823529
2025,Dec,Bus,433.0,1396.0,59145.5,12,4,1,0,3.216589861751152,0.0086979229440359,281.0,0.5390070921985816
2018,Jan,Dual Purpose,828.0,0.0,221246.0,1,1,0,0,0.0,0.0190686748652756,0.0,0.0
2018,Feb,Dual Purpose,760.0,0.0,221246.0,2,1,0,0,0.0,0.0197090324421047,828.0,-0.0820265379975874
2018,Mar,Dual Purpose,725.0,0.0,221246.0,3,1,0,0,0.0,0.0170419820412768,760.0,-0.0459921156373193
2018,Apr,Dual Purpose,733.0,0.0,221246.0,4,2,1,0,0.0,0.0178258754863813,725.0,0.0110192837465564
2018,May,Dual Purpose,729.0,0.0,221246.0,5,2,0,0,0.0,0.0156306953408091,733.0,-0.0054495912806539
2018,Jun,Dual Purpose,730.0,0.0,221246.0,6,2,0,0,0.0,0.0184199237970275,729.0,0.0013698630136986
2018,Jul,Dual Purpose,810.0,0.0,221246.0,7,3,0,0,0.0,0.0191136910661192,730.0,0.1094391244870041
2018,Aug,Dual Purpose,803.0,0.0,221246.0,8,3,0,0,0.0,0.0184572242909024,810.0,-0.0086313193588162
2018,Sep,Dual Purpose,594.0,0.0,221246.0,9,3,0,0,0.0,0.0170822189629885,803.0,-0.2599502487562189
2018,Oct,Dual Purpose,715.0,0.0,221246.0,10,4,0,0,0.0,0.0159484296930763,594.0,0.2033613445378151
2018,Nov,Dual Purpose,509.0,0.0,221246.0,11,4,0,0,0.0,0.0159331371689726,715.0,-0.2877094972067039
2018,Dec,Dual Purpose,496.0,0.0,221246.0,12,4,1,0,0.0,0.0153356213090931,509.0,-0.0254901960784313
2019,Jan,Dual Purpose,616.0,0.0,226239.5,1,1,0,0,0.0,0.0164525520151705,496.0,0.2414486921529175
2019,Feb,Dual Purpose,510.0,0.0,226239.5,2,1,0,0,0.0,0.0169053301511535,616.0,-0.1717990275526742
2019,Mar,Dual Purpose,650.0,0.0,226239.5,3,1,0,0,0.0,0.0181792756257866,510.0,0.273972602739726
2019,Apr,Dual Purpose,546.0,0.0,226239.5,4,2,1,0,0.0,0.0200359619830464,650.0,-0.1597542242703533
2019,May,Dual Purpose,487.0,0.0,226239.5,5,2,0,0,0.0,0.0140447007930785,546.0,-0.1078610603290676
2019,Jun,Dual Purpose,469.0,0.0,226239.5,6,2,0,0,0.0,0.0177429727991525,487.0,-0.0368852459016393
2019,Jul,Dual Purpose,619.0,0.0,226239.5,7,3,0,0,0.0,0.0193552421750414,469.0,0.3191489361702128
2019,Aug,Dual Purpose,719.0,0.0,226239.5,8,3,0,0,0.0,0.0221366995073891,619.0,0.1612903225806451
2019,Sep,Dual Purpose,634.0,0.0,226239.5,9,3,0,0,0.0,0.0221036851096468,719.0,-0.1180555555555555
2019,Oct,Dual Purpose,683.0,0.0,226239.5,10,4,0,0,0.0,0.0226233852268963,634.0,0.0771653543307086
2019,Nov,Dual Purpose,572.0,0.0,226239.5,11,4,0,0,0.0,0.0229497672925694,683.0,-0.1622807017543859
2019,Dec,Dual Purpose,625.0,0.0,226239.5,12,4,1,0,0.0,0.0243058256202846,572.0,0.0924956369982548
2020,Jan,Dual Purpose,902.0,0.0,229042.0,1,1,0,1,0.0,0.0257170553686491,625.0,0.4424920127795527
2020,Feb,Dual Purpose,797.0,0.0,229042.0,2,1,0,1,0.0,0.0251324419778002,902.0,-0.1162790697674418
2020,Mar,Dual Purpose,410.0,0.0,229042.0,3,1,0,1,0.0,0.0301226948791418,797.0,-0.4849624060150376
2020,Apr,Dual Purpose,619.0,0.0,229042.0,4,2,1,1,0.0,0.03565873610231,410.0,0.5085158150851582
2020,May,Dual Purpose,897.0,0.0,229042.0,5,2,0,1,0.0,0.0274244833068362,619.0,0.4483870967741935
2020,Jun,Dual Purpose,814.0,0.0,229042.0,6,2,0,1,0.0,0.0279580972007556,897.0,-0.0924276169265033
2020,Jul,Dual Purpose,552.0,0.0,229042.0,7,3,0,1,0.0,0.0308276555344577,814.0,-0.3214723926380368
2020,Aug,Dual Purpose,351.0,0.0,229042.0,8,3,0,1,0.0,0.028109233602947,552.0,-0.3634719710669077
2020,Sep,Dual Purpose,109.0,0.0,229042.0,9,3,0,1,0.0,0.0252900232018561,351.0,-0.6875
2020,Oct,Dual Purpose,78.0,0.0,229042.0,10,4,0,1,0.0,0.0256578947368421,109.0,-0.2818181818181818
2020,Nov,Dual Purpose,91.0,0.0,229042.0,11,4,0,1,0.0,0.0188405797101449,78.0,0.1645569620253164
2020,Dec,Dual Purpose,5620.0,0.0,229042.0,12,4,1,1,0.0,0.0278008627171633,91.0,60.09782608695652
2021,Jan,Dual Purpose,95.0,0.0,225047.0,1,1,0,1,0.0,0.0283666766198865,5620.0,-0.9829211884006404
2021,Feb,Dual Purpose,76.0,0.0,225047.0,2,1,0,1,0.0,0.0207991242474001,95.0,-0.1979166666666666
2021,Mar,Dual Purpose,70.0,0.0,225047.0,3,1,0,1,0.0,0.0192096597145993,76.0,-0.0779220779220779
2021,Apr,Dual Purpose,59.0,0.0,225047.0,4,2,1,1,0.0,0.0238866396761133,70.0,-0.1549295774647887
2021,May,Dual Purpose,30.0,0.0,225047.0,5,2,0,1,0.0,0.0208188757807078,59.0,-0.4833333333333333
2021,Jun,Dual Purpose,15.0,0.0,225047.0,6,2,0,1,0.0,0.0059856344772545,30.0,-0.4838709677419355
2021,Jul,Dual Purpose,58.0,0.0,225047.0,7,3,0,1,0.0,0.0141843971631205,15.0,2.6875
2021,Aug,Dual Purpose,17.0,0.0,225047.0,8,3,0,1,0.0,0.0106783919597989,58.0,-0.6949152542372882
2021,Sep,Dual Purpose,13.0,0.0,225047.0,9,3,0,1,0.0,0.0047829286239882,17.0,-0.2222222222222222
